,los
0,0.0
1,0.01607655068776807
2,0.028830885154077748
3,0.03475924374594875
4,0.03703579101519914
5,0.0373941054213775
6,0.03673432391336728
7,0.03553972522590458
8,0.03407876283794351
9,0.03250423392909954
10,0.03090419920998953
11,0.029329327402371864
12,0.02780816489696408
13,0.02635594719851542
14,0.024979823162538148
15,0.02368202101777436
16,0.02246180032498623
17,0.02131667079112103
18,0.02024315951332002
19,0.019237295478649618
20,0.018294914656218027
21,0.017411850074469618
22,0.01658404763125689
23,0.015807633761121667
24,0.015078951892298298
25,0.014394578764628475
26,0.013751327894846474
27,0.013146245005124685
28,0.012576598603040763
29,0.012039867820438456
30,0.011533728896799707
31,0.011056041208475632
32,0.010604833419437652
33,0.010178290110107268
34,0.009774739093758589
35,0.009392639531826483
36,0.009030570894586521
37,0.008687222771505833
38,0.008361385508865725
39,0.00805194163607196
40,0.007757858032989275
41,0.007478178786316003
42,0.007212018681834093
43,0.006958557280214621
44,0.0067170335261639005
45,0.006486740843537229
46,0.00626702267227213
47,0.006057268406363833
48,0.005856909695467367
49,0.005665417075964581
50,0.0054822969004206515
51,0.005307088537240651
52,0.005139361815007129
53,0.004978714688431784
54,0.004824771105092654
55,0.0046771790541628435
56,0.004535608780179551
57,0.0043997511465672405
58,0.00426931613513047
59,0.004144031469084003
60,0.004023641348404445
61,0.003907905287381377
62,0.0037965970452286764
63,0.0036895036414999935
64,0.0035864244488455913
65,0.003487170356360727
66,0.003391562997416464
67,0.0032994340364398745
68,0.003210624509628702
69,0.003124984215051796
70,0.003042371148006401
71,0.002962650977881615
72,0.002885696563118133
73,0.002811387501162037
74,0.0027396097105878174
75,0.0026702550428166997
76,0.0026032209210828643
77,0.0025384100045052556
78,0.0024757298753082402
79,0.0024150927474025463
80,0.0023564151946903365
81,0.0022996178975966215
82,0.0022446254064547966
83,0.0021913659204881985
84,0.0021397710812334067
85,0.002089775779345428
86,0.002041317973810933
87,0.001994338522674121
88,0.0019487810244513226
89,0.001904591669475662
90,0.0018617191004727807
91,0.0018201142817231071
92,0.0017797303762159843
93,0.00174052263024664
94,0.0017024482649487657
95,0.0016654663742937858
96,0.0016295378291230713
97,0.0015946251868115698
98,0.0015606926061910286
99,0.001527705767388152
